unixtime,0.3um,0.5um,1.0um,2.0um,5.0um,10.0um,,lat,lon,alt,pm1,pm25,pm4,pm10,rh,t,voc,nox,2pm25,2pm10
1747424401,34467.3,1634.6,232.7,55.8,0,0,,0,0,0,4.8,5,5,5,42.1,24.7,33,1,3,5
1747425001,34346.2,1580.8,271.2,48.1,1.9,0,,0,0,0,4.8,5.3,5.6,5.7,42.1,24.6,35,1,3,5
1747425601,34401.9,1571.2,217.3,67.3,0,0,,0,0,0,7.3,7.7,7.7,7.7,41.3,24.9,0,0,2,4
1747426201,34348.1,1488.5,250,55.8,1.9,0,,0,0,0,5.2,5.4,5.4,5.4,42,24.7,34,1,3,5
1747426801,34248.1,1534.6,253.8,34.6,1.9,0,,0,0,0,5.1,5.4,5.4,5.4,41.9,24.7,33,1,2,4
1747427401,34294.2,1526.9,246.2,65.4,7.7,0,,0,0,0,4.8,5.1,5.1,5.1,41.9,24.7,35,1,2,4
1747428001,34296.2,1505.8,232.7,42.3,0,0,,0,0,0,4.6,4.8,4.8,4.8,41.9,24.6,34,1,3,5
1747428601,33532.7,1625,261.5,59.6,3.8,0,,0,0,0,4.9,5.1,5.1,5.1,42,24.6,35,1,3,5
1747429201,33930.8,1494.2,265.4,38.5,0,0,,0,0,0,4.7,4.9,4.9,4.9,41.9,24.6,34,1,3,5
1747429801,32930.8,1490.4,209.6,67.3,0,0,,0,0,0,4.5,4.7,4.7,4.7,41.8,24.6,35,1,2,4
1747430401,33742.3,1494.2,246.2,40.4,0,0,,0,0,0,5,5.3,5.3,5.3,41.9,24.6,35,1,3,5
1747431001,33486.5,1528.8,225,57.7,0,0,,0,0,0,4.3,4.5,4.5,4.5,41.9,24.6,35,1,3,5
1747431601,33217.3,1573.1,225,51.9,1.9,0,,0,0,0,4.9,5.1,5.1,5.1,41.8,24.6,32,1,2,4
1747432201,32615.4,1403.8,261.5,46.2,0,0,,0,0,0,4.8,5,5,5,41.8,24.6,34,1,2,4
1747432801,32903.8,1403.8,244.2,42.3,3.8,0,,0,0,0,5,5.2,5.2,5.2,41.8,24.6,34,1,3,5
1747433401,31963.5,1411.5,234.6,86.5,3.8,0,,0,0,0,4.5,4.7,4.7,4.7,41.8,24.6,33,1,2,4
1747434001,31738.5,1401.9,190.4,55.8,3.8,0,,0,0,0,4.1,4.3,4.3,4.3,41.7,24.6,34,1,3,5
1747434601,30913.5,1323.1,240.4,51.9,0,0,,0,0,0,4.7,5,5,5,41.7,24.6,35,1,3,5
1747435201,30436.5,1361.5,228.8,48.1,1.9,0,,0,0,0,4.4,4.6,4.6,4.6,41.6,24.6,34,1,2,4
1747435801,29301.9,1328.8,196.2,44.2,3.8,0,,0,0,0,4.4,4.6,4.6,4.6,41.5,24.6,33,1,3,5
1747436401,28498.1,1209.6,203.8,51.9,1.9,0,,0,0,0,4,4.2,4.2,4.2,41.4,24.6,33,1,2,4
1747437001,27565.4,1275,213.5,40.4,0,0,,0,0,0,4.5,4.7,4.7,4.7,41.4,24.6,33,1,2,4
1747437601,26821.2,1194.2,192.3,36.5,0,0,,0,0,0,4.5,4.7,4.7,4.7,41.3,24.6,30,1,2,4
1747438201,25778.8,1148.1,190.4,42.3,0,0,,0,0,0,3.5,3.6,3.6,3.6,41.2,24.6,33,1,2,4
1747438801,24275,1111.5,176.9,34.6,1.9,0,,0,0,0,3.2,3.4,3.4,3.4,41.2,24.6,32,1,1,2
1747439401,24192.3,1069.2,201.9,30.8,1.9,0,,0,0,0,3.4,3.6,3.6,3.6,41.1,24.6,33,1,2,4
1747440001,23117.3,1003.8,175,50,3.8,0,,0,0,0,3.4,3.5,3.5,3.5,41,24.6,31,1,1,2
1747440601,22342.3,930.8,173.1,25,0,0,,0,0,0,3.4,3.6,3.6,3.6,41,24.6,34,1,2,4
